epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,9860.19,1.57414,2.67536,1.17417,1.23933,0,0.69615,0.47841,0.49651,0.21457,0.64922,0.44747,0.44578,0.17265,2.13124,3.62062,1.71412,1.65176,0,0.0010925,0.0010925,0.0010925
57,10036.3,1.54771,2.64762,1.1485,1.22825,0,0.65133,0.47253,0.4963,0.20874,0.63618,0.46154,0.46185,0.17888,2.17602,3.62371,1.61765,1.76173,0,0.001076,0.001076,0.001076
58,10212.3,1.53734,2.58949,1.12605,1.21583,0,0.67007,0.45055,0.49539,0.21711,0.60601,0.41758,0.4418,0.15599,2.19909,3.66557,1.71334,1.70543,0,0.0010595,0.0010595,0.0010595
59,10388.3,1.48824,2.58595,1.12165,1.20647,0,0.52772,0.57714,0.50925,0.22438,0.67577,0.45812,0.49577,0.20066,2.2715,3.7639,1.62465,1.84627,0,0.001043,0.001043,0.001043
60,10564.3,1.52134,2.56525,1.12495,1.21644,0,0.68195,0.49451,0.52018,0.22632,0.63174,0.47253,0.47582,0.18936,2.16351,3.70648,1.58835,1.69298,0,0.0010265,0.0010265,0.0010265
61,10740.2,1.52931,2.57002,1.12309,1.21837,0,0.60859,0.51263,0.52468,0.22478,0.59403,0.48352,0.49229,0.18519,2.1226,3.60489,1.60809,1.69293,0,0.00101,0.00101,0.00101
62,10915.9,1.49178,2.56941,1.11093,1.19793,0,0.52061,0.58242,0.50905,0.22163,0.63491,0.46154,0.48808,0.18417,2.22851,3.54575,1.69947,1.78837,0,0.0009935,0.0009935,0.0009935
63,11091.6,1.46882,2.49906,1.07665,1.18906,0,0.78222,0.43956,0.52677,0.24194,0.74164,0.41758,0.49161,0.20158,2.11798,3.63209,1.67655,1.71191,0,0.000977,0.000977,0.000977
64,11267.5,1.48394,2.56775,1.10973,1.19064,0,0.7771,0.45055,0.53328,0.23674,0.7771,0.45055,0.51789,0.19627,2.22522,3.7269,1.73481,1.75485,0,0.0009605,0.0009605,0.0009605
65,11443.2,1.46039,2.49007,1.06324,1.18733,0,0.64397,0.48352,0.52357,0.24542,0.66067,0.49451,0.5192,0.19002,2.15096,3.72122,1.65476,1.78036,0,0.000944,0.000944,0.000944
66,11619,1.44128,2.4728,1.04335,1.17838,0,0.61503,0.61447,0.56811,0.25506,0.69116,0.48352,0.53806,0.20736,2.15993,3.56637,1.5516,1.69185,0,0.0009275,0.0009275,0.0009275
67,11795,1.45421,2.51058,1.07023,1.17936,0,0.73938,0.46154,0.51416,0.22761,0.67701,0.46154,0.48658,0.19016,2.2225,3.79591,1.64916,1.80474,0,0.000911,0.000911,0.000911
68,11970.9,1.42742,2.45215,1.04006,1.17711,0,0.66098,0.51423,0.52596,0.23767,0.61088,0.52747,0.5078,0.20023,2.16182,3.77547,1.69772,1.72186,0,0.0008945,0.0008945,0.0008945
69,12146.8,1.41361,2.45051,1.0248,1.16573,0,0.66799,0.50549,0.50439,0.2239,0.67731,0.53054,0.51363,0.17482,2.24859,3.9295,1.67443,1.79746,0,0.000878,0.000878,0.000878
70,12322.7,1.4107,2.4546,1.02438,1.16558,0,0.63492,0.56044,0.55042,0.2319,0.72979,0.43956,0.52575,0.1943,2.2552,3.80835,1.73386,1.89033,0,0.0008615,0.0008615,0.0008615
71,12498.4,1.41239,2.45195,1.02792,1.15641,0,0.65523,0.49451,0.49041,0.20866,0.60685,0.40659,0.43137,0.15704,2.33504,3.98639,1.71047,1.91413,0,0.000845,0.000845,0.000845
72,12674.2,1.3828,2.42435,0.99126,1.1385,0,0.7075,0.48352,0.52005,0.23251,0.6842,0.47253,0.49116,0.19582,2.24898,3.76701,1.68371,1.79826,0,0.0008285,0.0008285,0.0008285
73,12849.9,1.39346,2.45004,1.01976,1.14753,0,0.6181,0.51648,0.48982,0.2203,0.61777,0.51508,0.47234,0.18688,2.30481,3.82163,1.65422,1.86623,0,0.000812,0.000812,0.000812
74,13025.7,1.38487,2.44458,1.0133,1.14905,0,0.6534,0.49451,0.53915,0.23003,0.6555,0.47253,0.49978,0.19561,2.23173,3.75935,1.60608,1.80572,0,0.0007955,0.0007955,0.0007955
75,13201.7,1.36509,2.35355,0.97892,1.13202,0,0.59833,0.54021,0.5101,0.22604,0.66288,0.49451,0.50357,0.18875,2.28742,3.85471,1.56952,1.84344,0,0.000779,0.000779,0.000779
76,13377.6,1.3552,2.37688,0.97089,1.12636,0,0.65703,0.48352,0.50685,0.22812,0.64209,0.47253,0.48971,0.18896,2.23641,3.98567,1.68262,1.83473,0,0.0007625,0.0007625,0.0007625
77,13553.3,1.32003,2.34948,0.94818,1.11963,0,0.66331,0.49451,0.52417,0.23164,0.64747,0.48352,0.48113,0.1834,2.2418,4.01833,1.67834,1.82739,0,0.000746,0.000746,0.000746
78,13729,1.3133,2.31907,0.9455,1.11981,0,0.66433,0.48352,0.5156,0.21567,0.64091,0.47074,0.47363,0.17687,2.33672,4.14764,1.70238,1.8794,0,0.0007295,0.0007295,0.0007295
79,13904.9,1.31641,2.3165,0.95397,1.12495,0,0.54009,0.54203,0.4992,0.23001,0.71117,0.45055,0.5074,0.19012,2.333,4.0595,1.69111,1.89585,0,0.000713,0.000713,0.000713
