epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
43,11838.1,1.66111,2.81888,1.3524,1.38719,0,0.61871,0.48352,0.48519,0.20568,0.59711,0.45606,0.45833,0.1536,2.17539,3.51619,1.79169,1.88219,0,0.0011684,0.0011684,0.0011684
44,12113.3,1.65404,2.81178,1.34483,1.38425,0,0.66546,0.49451,0.54147,0.2254,0.64947,0.48352,0.50725,0.18602,2.20816,3.44878,1.69092,1.87802,0,0.0011486,0.0011486,0.0011486
45,12388.5,1.62678,2.77898,1.31192,1.36544,0,0.70846,0.51648,0.55589,0.24933,0.62143,0.46904,0.48496,0.1833,2.17499,3.57674,1.74924,1.88164,0,0.0011288,0.0011288,0.0011288
46,12663.4,1.62936,2.78936,1.31764,1.37218,0,0.70827,0.50693,0.57079,0.24089,0.708,0.49451,0.52331,0.20083,2.16598,3.52328,1.67346,1.88797,0,0.001109,0.001109,0.001109
47,12938.4,1.60682,2.77068,1.29937,1.34771,0,0.66644,0.50549,0.51611,0.21375,0.57393,0.50549,0.49952,0.19202,2.21027,3.64684,1.72618,1.92988,0,0.0010892,0.0010892,0.0010892
48,13213.4,1.56658,2.73748,1.27518,1.34108,0,0.71815,0.45055,0.52165,0.22508,0.6998,0.43956,0.47811,0.19364,2.22091,3.57316,1.72796,1.90991,0,0.0010694,0.0010694,0.0010694
49,13488.3,1.59381,2.74179,1.27041,1.34974,0,0.64784,0.49451,0.53314,0.22437,0.59144,0.45055,0.47472,0.18644,2.19114,3.63423,1.67489,1.89037,0,0.0010496,0.0010496,0.0010496
50,13763.1,1.54905,2.67882,1.22091,1.32278,0,0.60218,0.57143,0.52622,0.22135,0.57872,0.54348,0.46669,0.17311,2.26838,3.78368,1.60648,1.95579,0,0.0010298,0.0010298,0.0010298
51,14038.2,1.53046,2.66866,1.21399,1.30845,0,0.74357,0.49451,0.55721,0.24857,0.69319,0.46154,0.50112,0.19802,2.20298,3.55933,1.62059,1.9434,0,0.00101,0.00101,0.00101
52,14313,1.50883,2.6237,1.20114,1.30886,0,0.67566,0.48077,0.51601,0.21771,0.65801,0.4652,0.46914,0.17144,2.22734,3.67112,1.70493,1.94648,0,0.0009902,0.0009902,0.0009902
53,14588,1.51878,2.67584,1.19581,1.30887,0,0.61502,0.56044,0.53494,0.23803,0.61615,0.56044,0.50348,0.19082,2.15268,3.5452,1.63917,1.8914,0,0.0009704,0.0009704,0.0009704
54,14862.9,1.50476,2.63784,1.18145,1.29508,0,0.69116,0.59026,0.5847,0.23424,0.64281,0.53846,0.50452,0.18984,2.2349,3.63204,1.6528,1.95391,0,0.0009506,0.0009506,0.0009506
55,15137.8,1.46332,2.587,1.15624,1.28649,0,0.75313,0.53641,0.57416,0.24403,0.71649,0.51648,0.53722,0.21001,2.17018,3.48285,1.70523,1.90955,0,0.0009308,0.0009308,0.0009308
56,15412.7,1.4734,2.6235,1.14631,1.28102,0,0.71862,0.57143,0.56572,0.26001,0.63856,0.52747,0.52321,0.20289,2.15364,3.57642,1.65146,1.91293,0,0.000911,0.000911,0.000911
57,15687.7,1.44865,2.56932,1.13194,1.27617,0,0.75309,0.52747,0.55161,0.23193,0.70016,0.49451,0.51085,0.20543,2.1888,3.46464,1.75203,1.89587,0,0.0008912,0.0008912,0.0008912
58,15962.9,1.41404,2.5118,1.08239,1.24899,0,0.71915,0.5065,0.54155,0.21949,0.74659,0.51648,0.53198,0.1999,2.23466,3.57021,1.75,1.95532,0,0.0008714,0.0008714,0.0008714
59,16238,1.39212,2.50852,1.08785,1.25146,0,0.74691,0.54945,0.57111,0.24001,0.65815,0.51648,0.51132,0.19238,2.23826,3.76448,1.68031,2.01025,0,0.0008516,0.0008516,0.0008516
60,16513,1.40454,2.50881,1.09078,1.24969,0,0.6437,0.52747,0.51922,0.22566,0.72613,0.50549,0.50779,0.19098,2.26632,3.79597,1.64431,2.07682,0,0.0008318,0.0008318,0.0008318
61,16788.1,1.39392,2.50658,1.07523,1.24393,0,0.71804,0.53173,0.51472,0.2388,0.68765,0.50807,0.50918,0.20296,2.18243,3.62881,1.78392,1.93364,0,0.000812,0.000812,0.000812
62,17063.3,1.36712,2.47073,1.04665,1.22117,0,0.75287,0.57143,0.56711,0.2252,0.67057,0.51648,0.50523,0.18978,2.2703,3.70757,1.61832,2.03534,0,0.0007922,0.0007922,0.0007922
63,17338.4,1.34831,2.4093,1.03565,1.22505,0,0.76299,0.51648,0.59227,0.26175,0.71408,0.48352,0.53313,0.20922,2.21514,3.79383,1.74224,2.00181,0,0.0007724,0.0007724,0.0007724
64,17613.5,1.34718,2.47561,1.05196,1.2103,0,0.62752,0.57143,0.55863,0.24251,0.61545,0.56044,0.52741,0.19425,2.20372,3.95141,1.64987,1.97414,0,0.0007526,0.0007526,0.0007526
65,17888.8,1.32702,2.41521,1.0103,1.2041,0,0.69779,0.48352,0.51976,0.21839,0.71365,0.49451,0.52461,0.19183,2.26406,3.89172,1.73518,2.0846,0,0.0007328,0.0007328,0.0007328
66,18164,1.29556,2.37375,0.98081,1.19097,0,0.61004,0.5845,0.54683,0.24643,0.58474,0.56044,0.50712,0.1965,2.1616,3.97489,1.69398,2.00767,0,0.000713,0.000713,0.000713
67,18439.3,1.32085,2.40589,1.02041,1.21106,0,0.75517,0.56044,0.56096,0.23946,0.69995,0.51648,0.50183,0.18363,2.13251,3.86939,1.58997,1.94473,0,0.0006932,0.0006932,0.0006932
68,18714.5,1.28193,2.35752,0.99049,1.1955,0,0.68849,0.48579,0.50612,0.20568,0.65614,0.46154,0.4503,0.18436,2.23949,4.03907,1.70676,2.08622,0,0.0006734,0.0006734,0.0006734
69,18989.7,1.26887,2.34865,0.97626,1.17823,0,0.644,0.52747,0.53247,0.24796,0.63565,0.53846,0.51021,0.20459,2.18317,3.9479,1.63162,2.00274,0,0.0006536,0.0006536,0.0006536
70,19265.1,1.26555,2.34414,0.96855,1.17228,0,0.70088,0.54945,0.54975,0.22969,0.67258,0.52747,0.51289,0.19328,2.23234,4.01766,1.75396,2.04821,0,0.0006338,0.0006338,0.0006338
71,19540.4,1.27778,2.35855,0.97875,1.17685,0,0.72374,0.49451,0.53336,0.23639,0.68509,0.46154,0.4904,0.19005,2.26933,4.06164,1.72515,2.1416,0,0.000614,0.000614,0.000614
72,19815.8,1.25544,2.31995,0.94766,1.15829,0,0.7768,0.53545,0.59173,0.26465,0.69761,0.47253,0.52362,0.21792,2.16447,3.96572,1.70436,1.99881,0,0.0005942,0.0005942,0.0005942
73,20091.1,1.25442,2.327,0.95527,1.16763,0,0.66127,0.54945,0.54778,0.25449,0.64786,0.53846,0.51113,0.20851,2.20499,3.99299,1.68235,2.04065,0,0.0005744,0.0005744,0.0005744
74,20366.4,1.23357,2.33168,0.96483,1.16306,0,0.74018,0.58242,0.59222,0.25881,0.70828,0.5603,0.55755,0.21444,2.14374,4.02184,1.73719,1.97177,0,0.0005546,0.0005546,0.0005546
75,20641.7,1.21833,2.25579,0.92382,1.14554,0,0.79925,0.52505,0.56318,0.25121,0.69346,0.47253,0.4839,0.19743,2.15771,4.07315,1.67412,1.99237,0,0.0005348,0.0005348,0.0005348
76,20917,1.20133,2.27134,0.91826,1.13821,0,0.77263,0.52284,0.58127,0.25742,0.70654,0.49451,0.52277,0.2071,2.17941,4.24572,1.76843,2.06169,0,0.000515,0.000515,0.000515
77,21192.3,1.18133,2.23899,0.90203,1.13755,0,0.79391,0.49451,0.55048,0.24079,0.71926,0.45055,0.46593,0.18389,2.24439,4.40971,1.77561,2.15658,0,0.0004952,0.0004952,0.0004952
78,21467.5,1.18224,2.2156,0.90706,1.14196,0,0.82278,0.53846,0.61129,0.26744,0.74496,0.48352,0.51145,0.20651,2.16385,4.12169,1.72162,2.05566,0,0.0004754,0.0004754,0.0004754
79,21742.8,1.18236,2.22881,0.91331,1.14264,0,0.68624,0.57686,0.55486,0.22711,0.72487,0.47253,0.48504,0.18148,2.19641,4.20975,1.77732,2.10133,0,0.0004556,0.0004556,0.0004556
80,22018,1.15414,2.17971,0.8844,1.12609,0,0.77557,0.53846,0.59051,0.25183,0.72504,0.50549,0.53334,0.22037,2.182,4.25388,1.58547,2.10348,0,0.0004358,0.0004358,0.0004358
81,22293.1,1.16069,2.2105,0.8827,1.11917,0,0.80004,0.53846,0.5849,0.26082,0.7338,0.49451,0.52995,0.20038,2.19363,4.25011,1.67466,2.07109,0,0.000416,0.000416,0.000416
82,22568.4,1.13712,2.1611,0.86502,1.11378,0,0.76539,0.51648,0.5509,0.2571,0.70232,0.47253,0.50217,0.20334,2.21369,4.30172,1.67314,2.13937,0,0.0003962,0.0003962,0.0003962
83,22843.6,1.12454,2.18706,0.86567,1.11299,0,0.69091,0.61538,0.58404,0.24776,0.63383,0.53264,0.49868,0.18995,2.2221,4.40727,1.70881,2.13565,0,0.0003764,0.0003764,0.0003764
84,23118.9,1.12772,2.14051,0.85764,1.11218,0,0.75093,0.49699,0.55811,0.2447,0.70023,0.46154,0.51673,0.18898,2.24405,4.34877,1.80638,2.19148,0,0.0003566,0.0003566,0.0003566
85,23394.2,1.12922,2.15828,0.86231,1.11307,0,0.7309,0.57143,0.57166,0.25634,0.78848,0.50549,0.5287,0.20997,2.18012,4.26936,1.64899,2.05261,0,0.0003368,0.0003368,0.0003368
86,23669.4,1.10435,2.13266,0.85536,1.10035,0,0.83073,0.53846,0.60371,0.24987,0.74522,0.48352,0.50087,0.20747,2.22594,4.34957,1.69154,2.16168,0,0.000317,0.000317,0.000317
87,23944.7,1.08259,2.1096,0.83242,1.10157,0,0.75432,0.52747,0.56153,0.24031,0.67675,0.47253,0.47721,0.2002,2.26129,4.55242,1.77983,2.20696,0,0.0002972,0.0002972,0.0002972
88,24220,1.08514,2.0805,0.82741,1.09468,0,0.76079,0.54945,0.55472,0.24196,0.74522,0.53846,0.52922,0.19073,2.20922,4.44791,1.75439,2.14933,0,0.0002774,0.0002774,0.0002774
89,24495.4,1.05434,2.06494,0.80809,1.07585,0,0.71087,0.56741,0.57736,0.245,0.62826,0.50148,0.48761,0.20189,2.24384,4.49128,1.73643,2.20827,0,0.0002576,0.0002576,0.0002576
90,24770.9,1.04816,2.04965,0.79855,1.07228,0,0.75915,0.56044,0.59573,0.25243,0.668,0.49451,0.49624,0.19895,2.25404,4.61973,1.8157,2.16505,0,0.0002378,0.0002378,0.0002378
91,25047,1.06735,2.08809,0.83046,1.13844,0,0.70882,0.54945,0.56706,0.25145,0.67116,0.51587,0.52103,0.20307,2.2547,4.60587,1.69697,2.24458,0,0.000218,0.000218,0.000218
92,25321.4,1.01508,2.02256,0.7777,1.11224,0,0.75104,0.54945,0.59718,0.24099,0.67593,0.49451,0.50028,0.18615,2.26503,4.65858,1.71567,2.26738,0,0.0001982,0.0001982,0.0001982
93,25595.6,1.00531,2.00814,0.76983,1.10286,0,0.7992,0.54945,0.59423,0.25189,0.75103,0.51648,0.53045,0.20043,2.21361,4.51568,1.65319,2.21084,0,0.0001784,0.0001784,0.0001784
94,25870,0.98972,1.99018,0.76687,1.10894,0,0.81088,0.52747,0.60395,0.26779,0.7596,0.49451,0.54108,0.20403,2.22262,4.69004,1.72402,2.19445,0,0.0001586,0.0001586,0.0001586
95,26144.6,0.97026,1.97713,0.74687,1.08964,0,0.77811,0.53951,0.5872,0.26209,0.71579,0.4982,0.52258,0.2002,2.25006,4.70028,1.76411,2.24368,0,0.0001388,0.0001388,0.0001388
96,26419.3,0.96044,1.96318,0.74442,1.08988,0,0.73254,0.53846,0.56301,0.25811,0.70098,0.51648,0.51567,0.20055,2.2486,4.7636,1.75401,2.2947,0,0.000119,0.000119,0.000119
97,26693.8,0.94525,1.9525,0.72583,1.08242,0,0.73623,0.53846,0.57369,0.25605,0.70329,0.52097,0.53363,0.19897,2.24016,4.74176,1.74221,2.26306,0,9.92e-05,9.92e-05,9.92e-05
98,26968.4,0.93895,1.93495,0.73384,1.07713,0,0.72117,0.53846,0.55776,0.25069,0.69174,0.51648,0.51805,0.1976,2.23483,4.90211,1.76587,2.2809,0,7.94e-05,7.94e-05,7.94e-05
99,27242.7,0.94238,1.93938,0.72161,1.07443,0,0.71908,0.53846,0.55236,0.24627,0.7044,0.52747,0.52568,0.19165,2.21017,4.84904,1.74939,2.25773,0,5.96e-05,5.96e-05,5.96e-05
100,27516.9,0.9213,1.92725,0.7227,1.05979,0,0.73383,0.52747,0.54071,0.24966,0.73383,0.52747,0.52833,0.19544,2.21978,4.91914,1.72981,2.287,0,3.98e-05,3.98e-05,3.98e-05
